社員番号,フォロワー数,いいね数
2172507,42,75
2172309,45,291
2172101,25,218
2171906,34,294
2171807,146,670
2171708,42,214
2171609,54,279
2171500,26,27
2171302,74,312
2171203,48,134
2171104,51,204
2171005,39,75
2170909,35,3
2170800,45,114
2170602,33,20
2170503,56,137
2170305,37,92
2170107,63,56
2170008,36,179
2169903,39,114
2169804,34,33
2169705,33,86
2169606,49,27
2169507,47,192
2169002,43,202
2168807,27,84
2168609,49,169
2168500,49,130
2168203,40,138
2168005,69,384
2167909,26,105
2167800,33,115
2167503,41,84
2167404,62,122
2167107,72,159
2166902,54,144
2166803,19,68
2166704,43,81
2166605,171,1142
2166506,43,128
2166308,50,153
2166100,58,86
2166001,37,71
2165905,52,239
2165806,34,116
2165509,32,9
2165301,48,165
2165103,63,231
2165004,28,33
2164908,67,135
2164700,54,271
2164601,18,52
2164106,36,47
2164007,6,0
2163901,50,302
2163703,39,17
2163604,28,105
2163406,46,110
2163307,39,95
2163208,36,52
2163109,40,228
2162805,45,58
2162607,43,125
2162508,46,58
2162409,47,233
2162300,25,34
2162201,33,92
2162003,25,57
2161907,72,113
2161808,49,124
2161709,70,181
2161600,29,105
2161501,43,139
2161006,27,20
2160702,27,22
2160603,30,105
2160504,64,14
2160306,31,57
2160207,20,15
2160009,18,93
2159805,43,202
2159706,20,58
2159508,23,12
2159003,37,926
2158907,14,0
2158808,41,224
2158600,43,776
2158501,37,151
2158402,15,0
2158204,65,1774
2158006,78,1104
2157900,37,263
2157801,22,3
2157702,69,40
2157306,51,101
2157108,120,1125
2157009,35,345
2156903,26,83
2156705,41,182
2156606,44,163
2156408,15,0
2156309,30,22
2156002,33,17
2155906,40,3
2155807,63,303
2155708,41,97
2155609,44,91
2155500,24,33
2155401,48,119
2155203,29,46
2155005,40,65
2154800,26,19
2154503,70,117
2154404,60,7
2154305,48,61
2154206,78,135
2154107,39,211
2154008,43,28
2153704,26,53
2153605,27,28
2153506,18,30
2153407,17,116
2153308,27,20
2153209,107,1287
2153001,37,4
2152806,151,2892
2152400,67,109
2152202,58,531
2152103,39,76
2151908,50,81
2151809,26,17
2151502,28,16
2151205,28,41
2151007,44,169
2150901,24,6
2150604,27,7
2150406,67,14
2150307,30,83
2150109,28,37
2149905,67,380
2149806,35,82
2149608,37,105
2149509,55,248
2149301,25,45
2149202,29,24
2149103,59,96
2149004,36,347
2148908,45,87
2148809,32,91
2148601,53,425
2148502,37,46
2148205,58,266
2148007,30,276
2147901,20,2
2147703,72,222
2147604,68,296
2147406,34,65
2147307,87,374
2147208,35,74
2147000,44,240
2146805,57,179
2146706,49,70
2146409,38,133
2146300,18,8
2146201,22,37
2146102,23,5
2146003,13,0
2145907,25,21
2145808,39,79
2145402,55,182
2145204,22,166
2144900,94,506
2144702,26,45
2144603,73,243
2144504,42,17
2144405,71,374
2144207,29,3
2144108,42,180
2144009,60,321
